,0,1,2,3
0,-1,-1,10,14
1,-1,-1,9,3
2,-1,-1,18,16
3,-1,-1,12,11
4,-1,-1,7,17
5,-1,-1,15,13
6,1,21,2,4
7,-1,-1,11,12
8,-1,-1,16,19
9,-1,-1,17,20
10,-1,-1,3,8
11,-1,-1,13,15
12,-1,-1,21,14
13,0,1,6,7
14,-1,-1,10,5
15,-1,-1,19,16
16,-1,-1,14,13
17,-1,-1,15,6
18,-1,-1,21,1
19,-1,-1,18,8
20,3,5,10,12
21,-1,-1,4,2
22,-1,-1,20,7
23,-1,-1,8,15
24,-1,-1,12,19
25,-1,-1,9,1
26,-1,-1,5,11
27,17,21,16,20
28,-1,-1,13,4
29,-1,-1,7,18
30,-1,-1,2,10
31,-1,-1,1,3
32,-1,-1,11,4
33,-1,-1,8,18
34,19,12,15,17
35,-1,-1,20,9
36,-1,-1,5,6
37,-1,-1,2,10
38,-1,-1,16,7
39,-1,-1,4,18
40,-1,-1,6,19
41,13,14,3,11
42,-1,-1,17,9
43,-1,-1,21,8
44,-1,-1,20,2
45,-1,-1,5,10
46,-1,-1,1,16
47,-1,-1,14,3
48,18,9,8,6
